hand,synonyms,YOUR NAME,1,2,3,4,5,6,7,TARGET ADJECTIVE,ANSWERS
"['Dinner_and_A_Movie', ""McDonald's"", 'Xena,_Warrior_Princess', 'Arsenic_and_Old_Lace', 'Dancing', 'Keanu_Reeves', 'The_Dallas_Cowboys']","['effortless', 'gentle', 'promiscuous']",,Dinner_and_A_Movie,McDonald's,"Xena,_Warrior_Princess",Arsenic_and_Old_Lace,Dancing,Keanu_Reeves,The_Dallas_Cowboys,Easy,
"['Grapefruit', 'Ben_Stiller', 'The_Birds_and_The_Bees', 'My_Past', 'Day_Care_Centers', 'School_Lunch', 'Ghost_Towns']","['stingy', 'greedy', 'miserly']",,Grapefruit,Ben_Stiller,The_Birds_and_The_Bees,My_Past,Day_Care_Centers,School_Lunch,Ghost_Towns,Selfish,
"['John_Travolta', 'The_Electric_Chair', 'Picking_Your_Nose', 'Beavis_and_Butt-Head', 'Forever_and_Ever', 'Creamed_Corn', 'Getting_Sick']","['egotistical', 'overconfident', 'conceited']",,John_Travolta,The_Electric_Chair,Picking_Your_Nose,Beavis_and_Butt-Head,Forever_and_Ever,Creamed_Corn,Getting_Sick,Arrogant,
"['Waterparks', 'Incense', 'Lemon_Meringue_Pie', 'Freckles', 'X-Rays', 'Martin_Luther_King,_Jr.', 'Elephants']","['concerned', 'interested']",,Waterparks,Incense,Lemon_Meringue_Pie,Freckles,X-Rays,"Martin_Luther_King,_Jr.",Elephants,Caring,
"['Truck_Stops', 'Trekkies', 'Underwear', 'The_Old_Man_And_The_Sea', 'My_Town', 'The_21st_Century', 'Pine_Trees']","['scary', 'horrifying', 'awesome']",,Truck_Stops,Trekkies,Underwear,The_Old_Man_And_The_Sea,My_Town,The_21st_Century,Pine_Trees,Frightening,
"['Ballroom_Dancing', 'Shopping_Mall', 'Barbara_Walters', 'Alien_Abductions', 'Swimming', 'Buzz_Lightyear', 'In_The_Doghouse']","['scarce', 'unusual', 'half-cooked']",,Ballroom_Dancing,Shopping_Mall,Barbara_Walters,Alien_Abductions,Swimming,Buzz_Lightyear,In_The_Doghouse,Rare,
"['Ladybugs', 'Bumper_Cars', 'A_Car_Crash', 'Victorian_England', 'Cat_and_Mouse', 'Cherries', 'The_NRA']","['U.S.', 'Citizen', 'Yankee', 'Apple', 'Pie']",,Ladybugs,Bumper_Cars,A_Car_Crash,Victorian_England,Cat_and_Mouse,Cherries,The_NRA,American,
"['Driving_A_Car', 'Foot_and_Mouth', 'Beanie_Babies', 'Green_Beans', 'Circus_Peanuts', 'The_Young_and_The_Restless', 'The_Atlantic_and_Pacific']","['stinky', 'odorous', 'rank']",,Driving_A_Car,Foot_and_Mouth,Beanie_Babies,Green_Beans,Circus_Peanuts,The_Young_and_The_Restless,The_Atlantic_and_Pacific,Smelly,
"['Snowstorm', 'Crabs', 'Yo-Yos', 'Eyes', 'A_Dollar', 'Tulips', 'Hair_Transplants']","['funny', 'hilarious', 'amusing']",,Snowstorm,Crabs,Yo-Yos,Eyes,A_Dollar,Tulips,Hair_Transplants,Comical,
"['Climbing_A_Tree', 'Rocks', 'Umbrella_Drinks', 'Armadillo', 'Milk_Duds', 'Atlantis', 'Apples']","['distorted', 'warped', 'perverted']",,Climbing_A_Tree,Rocks,Umbrella_Drinks,Armadillo,Milk_Duds,Atlantis,Apples,Twisted,
"['Coconuts', 'A_Fairy', 'Raves', 'Gen._George_S._Patton', 'Road_Rage', 'Toasters', 'Lucille_Ball']","['frightening', 'electrifying', 'startling']",,Coconuts,A_Fairy,Raves,Gen._George_S._Patton,Road_Rage,Toasters,Lucille_Ball,Shocking,
"['Sandra_Bullock', 'Toes', 'Lemonade', 'Johnny_Depp', 'Goats', 'Tomato_Soup', 'Curds_and_Whey']","['authentic', 'lifelike', 'reasonable']",,Sandra_Bullock,Toes,Lemonade,Johnny_Depp,Goats,Tomato_Soup,Curds_and_Whey,Realistic,
"['Alfred_Hitchcock', 'Miniature_Golf', 'Friends_and_Family', 'Will_and_Grace', 'VW_Beetles', 'Beethoven', 'Spam']","['magnificent', 'delightful', 'splendid']",,Alfred_Hitchcock,Miniature_Golf,Friends_and_Family,Will_and_Grace,VW_Beetles,Beethoven,Spam,Glorious,
"['Lawyers', 'Tooth_Fairy', 'Face_Paint', 'Mirrors', 'My_School', 'Riding_A_Horse', 'Rollerblading']","['honest', 'just', 'virtuous']",,Lawyers,Tooth_Fairy,Face_Paint,Mirrors,My_School,Riding_A_Horse,Rollerblading,Honorable,
"['White_Collar_Crime', 'Infomercials', 'Losing_Your_Job', 'Red_Raspberries', 'Brothers_and_Sisters', 'Skin_and_Bones', 'Alien_Abductions']","['loud', 'rambunctious', 'rowdy']",,White_Collar_Crime,Infomercials,Losing_Your_Job,Red_Raspberries,Brothers_and_Sisters,Skin_and_Bones,Alien_Abductions,Boisterous,
"['Oranges', 'Going_To_A_Movie', 'The_1960s', 'A_Few_Good_Men', 'Alan_Greenspan', 'Beethoven', 'Yo-Yos']","['stinky', 'odorous', 'rank']",,Oranges,Going_To_A_Movie,The_1960s,A_Few_Good_Men,Alan_Greenspan,Beethoven,Yo-Yos,Smelly,
"['A_Piano', 'The_Pyramids', 'Food_and_Shelter', 'Mail_Carrier', 'Paris,_France', 'Churches', 'Lock_and_Load']","['brisk', 'invigorating', 'rejuvenating']",,A_Piano,The_Pyramids,Food_and_Shelter,Mail_Carrier,"Paris,_France",Churches,Lock_and_Load,Refreshing,
"['Roman_Numerals', 'A_Spare_Tire', 'Nashville', ""Valentine's_Day"", 'The_Everglades', 'Mud', 'Big_Bird']","['impaired', 'damaged', 'maladjusted']",,Roman_Numerals,A_Spare_Tire,Nashville,Valentine's_Day,The_Everglades,Mud,Big_Bird,Dysfunctional,
"['Smithsonian_Institution', 'Raccoons', 'Whales', 'Blood', 'Carpenters', 'Flannel_Shirts', 'Democrats']","['masculine', 'virile', 'strong']",,Smithsonian_Institution,Raccoons,Whales,Blood,Carpenters,Flannel_Shirts,Democrats,Manly,
"['Erasers', 'Adolph_Hitler', 'Shrimp', 'The_KKK', 'Beef_Stew', 'Chewing_Your_Fingernails', 'Body_Odor']","['honest', 'reliable', 'unfailing']",,Erasers,Adolph_Hitler,Shrimp,The_KKK,Beef_Stew,Chewing_Your_Fingernails,Body_Odor,Trustworthy,
"['Thunder', 'Rice_Krispies_Treats', 'Football_Players', 'Nuclear_Power_Plants', 'Hard_Boiled_Eggs', 'Stocks_and_Bonds', ""At_My_Parent's_House""]","['wild', 'natural']",,Thunder,Rice_Krispies_Treats,Football_Players,Nuclear_Power_Plants,Hard_Boiled_Eggs,Stocks_and_Bonds,At_My_Parent's_House,Untamed,
"['Owls', 'The_Birds_and_The_Bees', 'Rice', 'Smithsonian_Institution', 'Power_Rangers', 'Fur', 'Itchy_Clothes']","['accountable', 'obligated', 'mature']",,Owls,The_Birds_and_The_Bees,Rice,Smithsonian_Institution,Power_Rangers,Fur,Itchy_Clothes,Responsible,
"['Lions_and_Tigers', 'Face_Paint', 'Brain_Surgeons', 'Race_Car_Drivers', 'Madeline', 'Boyfriends', 'Winning_The_Lottery']","['cautious', 'thoughtful']",,Lions_and_Tigers,Face_Paint,Brain_Surgeons,Race_Car_Drivers,Madeline,Boyfriends,Winning_The_Lottery,Careful,
"['Trekkies', 'Slash_and_Burn', 'Hair_Transplants', 'Cary_Grant', 'Pounding_Nails', 'Hamburgers', 'Amputations']","['perfect', 'flawless', 'model']",,Trekkies,Slash_and_Burn,Hair_Transplants,Cary_Grant,Pounding_Nails,Hamburgers,Amputations,Ideal,
"['Clowns', 'Walt_Disney', 'Broadway', 'Albert_Einstein', 'Babies', 'The_Atlantic_and_Pacific', 'Trains']","['caring', 'unselfish']",,Clowns,Walt_Disney,Broadway,Albert_Einstein,Babies,The_Atlantic_and_Pacific,Trains,Thoughtful,
"['Snakes', 'A_Log_Cabin', 'Football_Players', 'The_End_Of_The_World', 'Lemon_Meringue_Pie', 'Stubbed_Toes', 'A_Can_Of_Worms']","['scared', 'worried']",,Snakes,A_Log_Cabin,Football_Players,The_End_Of_The_World,Lemon_Meringue_Pie,Stubbed_Toes,A_Can_Of_Worms,Fearful,
"['Poison_Ivy', 'Trekkies', 'Rappers', 'Getting_A_Shot', 'My_Boss', 'Tea_and_Crumpets', 'Recess']","['scientific', 'futuristic', 'mechanical']",,Poison_Ivy,Trekkies,Rappers,Getting_A_Shot,My_Boss,Tea_and_Crumpets,Recess,Technological,
"['Water_Parks', 'Hotdogs', 'The_Dump', 'Pumping_Iron', 'Ice_Skating', 'Chocolate_Milk', 'Quentin_Terantino']","['stylish', 'trendy', 'fast']",,Water_Parks,Hotdogs,The_Dump,Pumping_Iron,Ice_Skating,Chocolate_Milk,Quentin_Terantino,Snappy,
"['Drew_Barrymore', 'In_The_Basement', 'Buffalo', 'Vietnam,_1968', 'Anne_Frank', 'Choir_Boys', 'Snowflakes']","['imperfect', 'defective', 'unsound']",,Drew_Barrymore,In_The_Basement,Buffalo,"Vietnam,_1968",Anne_Frank,Choir_Boys,Snowflakes,Flawed,
"['Apples_and_Oranges', 'Clowns', 'Gravy', 'Freedom', 'Lemon_Meringue_Pie', 'Will_Smith', 'Martha_Stewart']","['reflective', 'gleaming', 'polished']",,Apples_and_Oranges,Clowns,Gravy,Freedom,Lemon_Meringue_Pie,Will_Smith,Martha_Stewart,Shiny,
"['Puff_Daddy', 'Oxygen', 'Sneezing', 'Cup_and_Saucer', 'Suit_and_Tie', 'Cow-Pies', 'Electricity']","['dirty', 'shabby', 'seedy']",,Puff_Daddy,Oxygen,Sneezing,Cup_and_Saucer,Suit_and_Tie,Cow-Pies,Electricity,Grungy,
"['Babysitters', 'White_Bread', 'Parenting', 'Dirt', 'Ham_Sandwhich', 'Flying_Monkeys', 'Chips_and_Dip']","['shocking', 'scandalous', 'disgraceful']",,Babysitters,White_Bread,Parenting,Dirt,Ham_Sandwhich,Flying_Monkeys,Chips_and_Dip,Outrageous,
"['The_Pyramids', 'Carlos_Santana', 'Handguns', 'Knife_and_Fork', 'Bonbons', 'R_and_D', 'United_States']","['crude', 'uncooked', 'harsh']",,The_Pyramids,Carlos_Santana,Handguns,Knife_and_Fork,Bonbons,R_and_D,United_States,Raw,
"['The_Common_Loon', 'Milk_and_Cookies', 'Challenger_Explosion', 'Computer_Hackers', 'The_Ozone_Layer', 'The_Little_Mermaid', 'Card_Games']","['pleasant', 'kind']",,The_Common_Loon,Milk_and_Cookies,Challenger_Explosion,Computer_Hackers,The_Ozone_Layer,The_Little_Mermaid,Card_Games,Nice,
"['A_School_Bus', 'Drums', 'My_Life', 'Reading_A_Book', 'Flowers_and_Candy', 'Flying_A_Kite', 'Getting_A_Hug']","['circular', 'ring', 'shaped']",,A_School_Bus,Drums,My_Life,Reading_A_Book,Flowers_and_Candy,Flying_A_Kite,Getting_A_Hug,Round,
"['Billy_Crystal', 'Vanilla_Pudding', 'Bowling', 'Colin_Powell', 'Steve_Martin', 'Peanuts', 'Root_Beer']","['alluring', 'magnetic', 'charming']",,Billy_Crystal,Vanilla_Pudding,Bowling,Colin_Powell,Steve_Martin,Peanuts,Root_Beer,Charismatic,
"['Nirvana', 'Thunderstorms', 'Writing_A_Letter', 'Chickens', 'White_Bread', 'Dr._Evil', 'Mustard']","['soft', 'squishy']",,Nirvana,Thunderstorms,Writing_A_Letter,Chickens,White_Bread,Dr._Evil,Mustard,Mushy,
"['Perfume', 'Doorbells', 'Bingo', 'Toy_Poodles', 'Jodie_Foster', 'Monster_Trucks', 'Telling_The_Truth']","['cheerful', 'joyous', 'merry']",,Perfume,Doorbells,Bingo,Toy_Poodles,Jodie_Foster,Monster_Trucks,Telling_The_Truth,Jolly,
"['Jenna_and_Barbara', 'Umbrella_Drinks', 'Mom_and_Pop', 'My_Teacher', 'Shania_Twain', 'The_U.S._Constitution', 'Tyra_Banks']","['plump', 'round']",,Jenna_and_Barbara,Umbrella_Drinks,Mom_and_Pop,My_Teacher,Shania_Twain,The_U.S._Constitution,Tyra_Banks,Chubby,
"['A_Can_Of_Worms', 'Jamaica', 'Cary_Grant', 'My_Room', 'Waterfalls', 'Churches', 'Kiss_and_Tell']","['strong', 'firm', 'difficult']",,A_Can_Of_Worms,Jamaica,Cary_Grant,My_Room,Waterfalls,Churches,Kiss_and_Tell,Tough,
"['New_Orleans', 'Sushi', 'The_Super_Bowl', 'Bells_and_Whistles', 'Pit_Bulls', 'Sigmund_Freud', 'Stunt_People']","['bright', 'smart', 'brainy']",,New_Orleans,Sushi,The_Super_Bowl,Bells_and_Whistles,Pit_Bulls,Sigmund_Freud,Stunt_People,Intelligent,
"['Electricity', 'Strip_Malls', 'Liposuction', 'Going_On_A_Cruise', 'Skinned_Knees', 'Odds_and_Ends', 'Harvard_and_Yale']","['quiet', 'still']",,Electricity,Strip_Malls,Liposuction,Going_On_A_Cruise,Skinned_Knees,Odds_and_Ends,Harvard_and_Yale,Silent,
"['Breaking_and_Entering', 'Indiana_Jones', 'Shopping', 'A_Swimming_Pool', 'Jackie_Chan', 'Homework', 'Shopping_Mall']","['urbane', 'cosmopolitan', 'complex']",,Breaking_and_Entering,Indiana_Jones,Shopping,A_Swimming_Pool,Jackie_Chan,Homework,Shopping_Mall,Sophisticated,
"['Machine_Guns', 'Hammers', 'Rednecks', 'Canada', 'Big_Bird', 'Ducks', 'Pro_Wrestling']","['male', 'manly', 'virile']",,Machine_Guns,Hammers,Rednecks,Canada,Big_Bird,Ducks,Pro_Wrestling,Masculine,
"['Squirrels', 'Alaska', 'Space_and_Time', 'Bill_and_Ted', 'The_CIA', 'Star_Fruit', 'Churches']","['inactive', 'lazy', 'slothful']",,Squirrels,Alaska,Space_and_Time,Bill_and_Ted,The_CIA,Star_Fruit,Churches,Sluggish,
"['Going_To_A_Movie', 'Tooth_Fairy', 'The_Beatles', 'The_Midwest', 'Joan_Of_Arc', 'Trekkies', 'The_1980s']","['pleasurable', 'entertaining', 'fun']",,Going_To_A_Movie,Tooth_Fairy,The_Beatles,The_Midwest,Joan_Of_Arc,Trekkies,The_1980s,Enjoyable,
"['Saturday_Cartoons', 'Sitcoms', 'Hiccups', 'Flying_Monkeys', 'Brad_Pitt', 'Board_Games', 'Abraham_Lincoln']","['captivating', 'charming', 'spell-binding']",,Saturday_Cartoons,Sitcoms,Hiccups,Flying_Monkeys,Brad_Pitt,Board_Games,Abraham_Lincoln,Enchanting,
"['Pride_and_Prejudice', 'Goldfish', 'Meatballs', 'Skinned_Knees', 'Suit_and_Tie', 'Toothpaste', 'The_Zoo']","['dull', 'tedious', 'monotonous']",,Pride_and_Prejudice,Goldfish,Meatballs,Skinned_Knees,Suit_and_Tie,Toothpaste,The_Zoo,Boring,
"['Infomercials', 'The_Godfather', 'Family_Vacations', 'Bread_and_Water', 'Science_Fiction', 'Lock_and_Key', 'Lego_Building_Blocks']","['awesome', 'outrageous', 'imaginary']",,Infomercials,The_Godfather,Family_Vacations,Bread_and_Water,Science_Fiction,Lock_and_Key,Lego_Building_Blocks,Fantastic,
"['School_Lunch', 'Elmo', 'Jelly_Beans', 'Nuts_and_Bolts', 'Castles', 'Kickball', 'Dodo_Birds']","['excellent', 'refined', 'flawless']",,School_Lunch,Elmo,Jelly_Beans,Nuts_and_Bolts,Castles,Kickball,Dodo_Birds,Exquisite,
"['My_Past', 'Strip_Malls', 'Death_and_Taxes', 'Cooking_Dinner', 'Comic_Books', 'Walking_The_Dog', 'Waterparks']","['convenient', 'available', 'capable']",,My_Past,Strip_Malls,Death_and_Taxes,Cooking_Dinner,Comic_Books,Walking_The_Dog,Waterparks,Handy,
"['Camping', 'Neighbors', 'Backyards', 'Pluto', 'Muddy_Feet', 'Riding_A_Bike', 'Working_Out']","['powerful', 'forceful']",,Camping,Neighbors,Backyards,Pluto,Muddy_Feet,Riding_A_Bike,Working_Out,Strong,
"['Hand_Grenades', 'Quentin_Terantino', 'Parties', 'Drinking_and_Driving', 'Large_Mouth_Bass', 'Soccer', 'Rice_Krispies_Treats']","['annoying', 'troublesome', 'provoking']",,Hand_Grenades,Quentin_Terantino,Parties,Drinking_and_Driving,Large_Mouth_Bass,Soccer,Rice_Krispies_Treats,Irritating,
"['Waco,_Texas', 'Ronald_McDonald', 'Mail_Carrier', 'Science_Experiments', 'On-Line_Shopping', 'Labor_Unions', 'Tea_and_Crumpets']","['classic', 'ageless', 'well-established']",,"Waco,_Texas",Ronald_McDonald,Mail_Carrier,Science_Experiments,On-Line_Shopping,Labor_Unions,Tea_and_Crumpets,Timeless,
"['Kittens', 'Pillow_Fights', 'Bubble_Gum', 'The_Atlantic_and_Pacific', 'Republicans', ""Custer's_Last_Stand"", 'Blood_and_Tears']","['fascinating', 'hypnotizing', 'charming']",,Kittens,Pillow_Fights,Bubble_Gum,The_Atlantic_and_Pacific,Republicans,Custer's_Last_Stand,Blood_and_Tears,Mesmerizing,
"['Yellowstone_Park', 'Cow-Pies', 'Thanksgiving_Day', 'The_Chicken_Dance', 'The_Mafia', 'Going_To_School', 'Root_Beer_Floats']","['concerned', 'interested']",,Yellowstone_Park,Cow-Pies,Thanksgiving_Day,The_Chicken_Dance,The_Mafia,Going_To_School,Root_Beer_Floats,Caring,
"['Pajamas', 'High_Heels', 'Braces', 'The_Pyramids', 'Helen_Keller', 'Going_To_A_Movie', 'Star_Fruit']","['dismal', 'gloomy', 'sad']",,Pajamas,High_Heels,Braces,The_Pyramids,Helen_Keller,Going_To_A_Movie,Star_Fruit,Depressing,
"['Brain_Surgeons', 'Mosquitoes', 'Training_Wheels', 'Basketball', 'Throwing_Rocks', 'The_Three_Tenors', 'Trampolines']","['stubborn', 'obstinate', 'improper']",,Brain_Surgeons,Mosquitoes,Training_Wheels,Basketball,Throwing_Rocks,The_Three_Tenors,Trampolines,Perverse,
"['Hansel_and_Gretel', 'Cottage_Cheese', 'Pi¤atas', 'George_and_Jane,_His_Wife', 'Waxing_The_Floor', 'Chain_Letters', 'Leather_and_Lace']","['cautious', 'thoughtful']",,Hansel_and_Gretel,Cottage_Cheese,Pi¤atas,"George_and_Jane,_His_Wife",Waxing_The_Floor,Chain_Letters,Leather_and_Lace,Careful,
"['Shania_Twain', 'Fred_Flintstone', 'Band-Aids', 'Porsche_Boxster', 'George_and_Jane,_His_Wife', 'Rush_Limbaugh', 'Claude_Monet']","['faultless', 'consummate', 'exact']",,Shania_Twain,Fred_Flintstone,Band-Aids,Porsche_Boxster,"George_and_Jane,_His_Wife",Rush_Limbaugh,Claude_Monet,Perfect,
"['The_South', 'Foot_and_Mouth', 'Dr._Evil', 'Tony_Blair', 'Floods', 'Fairies', 'Plane_Crashes']","['kooky', 'foolish', 'nutlike']",,The_South,Foot_and_Mouth,Dr._Evil,Tony_Blair,Floods,Fairies,Plane_Crashes,Nutty,
"['Winning_The_Lottery', 'Radios', 'Bunk_Beds', 'Aladdin', 'Jack_The_Ripper', 'Garth_Brooks', 'My_Mother']","['pretty', 'lovely']",,Winning_The_Lottery,Radios,Bunk_Beds,Aladdin,Jack_The_Ripper,Garth_Brooks,My_Mother,Beautiful,
"['Ramona', 'The_1980s', 'Babies', 'A_Bakery', 'My_High_School_Prom', 'Boats', 'Ben_Stiller']","['usual', 'common', 'plain']",,Ramona,The_1980s,Babies,A_Bakery,My_High_School_Prom,Boats,Ben_Stiller,Ordinary,
"['Meat_Markets', 'Pillows', 'The_Godfather', 'Globes', 'Brain_Surgeons', 'Scooby-Doo', 'In_The_Doghouse']","['gifted', 'clever', 'skillful']",,Meat_Markets,Pillows,The_Godfather,Globes,Brain_Surgeons,Scooby-Doo,In_The_Doghouse,Talented,
"['Cockroaches', 'A_Fairy', 'A_Movie_Theater', 'Olive_Oil', 'Quicksand', 'Mushrooms', 'Assault_and_Battery']","['world-wide', 'spherical', 'universal']",,Cockroaches,A_Fairy,A_Movie_Theater,Olive_Oil,Quicksand,Mushrooms,Assault_and_Battery,Global,
"['Penn_and_Teller', 'Smoke', 'Comic_Books', 'The_Young_and_The_Restless', 'Bigfoot', 'Oil_and_Vinegar', 'Soccer']","['strained', 'tense', 'nervous']",,Penn_and_Teller,Smoke,Comic_Books,The_Young_and_The_Restless,Bigfoot,Oil_and_Vinegar,Soccer,Wired,
"['Grape_Jelly', 'Stephen_King', 'Road_Trips', 'Long_Hair', 'Baseball', 'Jerry_Springer', 'Barfing']","['respectful', 'well-mannered']",,Grape_Jelly,Stephen_King,Road_Trips,Long_Hair,Baseball,Jerry_Springer,Barfing,Polite,
"['Pulling_Weeds', 'Slash_and_Burn', 'Backyards', 'Genetic_Engineering', 'Tarred_and_Feathered', 'Jesse_Ventura', 'Lightning']","['notable', 'impressive', 'remarkable']",,Pulling_Weeds,Slash_and_Burn,Backyards,Genetic_Engineering,Tarred_and_Feathered,Jesse_Ventura,Lightning,Unforgettable,
"['Telemarketers', 'Penn_and_Teller', 'Glaciers', 'Jack_Nicholson', 'Anna_and_The_King', 'Skeletons', 'Michelle_Pfeiffer']","['slick', 'sliding']",,Telemarketers,Penn_and_Teller,Glaciers,Jack_Nicholson,Anna_and_The_King,Skeletons,Michelle_Pfeiffer,Slippery,
"['Pillows', 'R_and_D', 'Rock_and_Roll', 'Junkyard_Dogs', 'Stalactites_and_Stalagmites', 'Grease_and_Grime', 'A_School_Bus']","['watery', 'soaked']",,Pillows,R_and_D,Rock_and_Roll,Junkyard_Dogs,Stalactites_and_Stalagmites,Grease_and_Grime,A_School_Bus,Wet,
"['Eggs', 'Vacuum_Cleaners', 'Assault_and_Battery', 'Gold', 'Salads', 'Rock_Stars', 'Robert_DeNiro']","['fortunate', 'serendipitous', 'favored']",,Eggs,Vacuum_Cleaners,Assault_and_Battery,Gold,Salads,Rock_Stars,Robert_DeNiro,Lucky,
"['Fire', 'Winning_A_Trophy', 'Thelma_and_Louise', 'Lawyers', 'Strawberries', 'Running_A_Marathon', 'Rappers']","['icky', 'sickening']",,Fire,Winning_A_Trophy,Thelma_and_Louise,Lawyers,Strawberries,Running_A_Marathon,Rappers,Yucky,
"['Jackie_Chan', 'A_Million_Dollars', 'A_Log_Cabin', 'Hard_Boiled_Eggs', 'Strawberry_Shortcake', 'Silly_Putty', 'Apples_and_Oranges']","['vivid', 'brilliant', 'kaleidoscopic']",,Jackie_Chan,A_Million_Dollars,A_Log_Cabin,Hard_Boiled_Eggs,Strawberry_Shortcake,Silly_Putty,Apples_and_Oranges,Colorful,
"['Lewis_and_Clark', 'Black_Cats', 'My_Shoes', 'Las_Vegas', 'Dallas_and_Fort_Worth', 'Haiku', 'Pork_and_Beans']","['gummy', 'rubbery', 'stringy']",,Lewis_and_Clark,Black_Cats,My_Shoes,Las_Vegas,Dallas_and_Fort_Worth,Haiku,Pork_and_Beans,Chewy,
"['Heaven_and_Hell', 'A_Volcano', 'Spider-Man', 'Knitting_Needles', 'A_Haunted_House', 'Truth_and_Justice', 'Steven_Spielberg']","['not', 'light', 'bulky']",,Heaven_and_Hell,A_Volcano,Spider-Man,Knitting_Needles,A_Haunted_House,Truth_and_Justice,Steven_Spielberg,Heavy,
"['Canadians', 'Dancing', 'Having_An_Operation', 'Barbershops', 'Paul_McCartney_and_Wings', 'CD_Players', 'Chain_Letters']","['rotten', 'hurtful']",,Canadians,Dancing,Having_An_Operation,Barbershops,Paul_McCartney_and_Wings,CD_Players,Chain_Letters,Bad,
"['Baseball_Games', 'Bumble_Bees', 'Going_To_The_Dentist', 'Mom_and_Pop', 'Stars_and_Stripes', 'Milk_Duds', 'Amputations']","['thoughtful', 'contemplative', 'wise']",,Baseball_Games,Bumble_Bees,Going_To_The_Dentist,Mom_and_Pop,Stars_and_Stripes,Milk_Duds,Amputations,Philosophical,
"['Body_Snatchers', 'Paul_McCartney_and_Wings', 'Steven_Spielberg', 'Clay', 'Getting_The_Flu', 'Braces', 'Neighbors']","['sweltering', 'humid', 'sensual']",,Body_Snatchers,Paul_McCartney_and_Wings,Steven_Spielberg,Clay,Getting_The_Flu,Braces,Neighbors,Sultry,
"['Playing_Checkers', 'Dog_Food', 'Elevators', 'Cocaine', 'Laverne_and_Shirley', ""Going_To_Grandma's"", 'Tyrannosaurus_Rex']","['lumpy', 'bouncy']",,Playing_Checkers,Dog_Food,Elevators,Cocaine,Laverne_and_Shirley,Going_To_Grandma's,Tyrannosaurus_Rex,Bumpy,
"['Calvin_and_Hobbs', 'Goats', 'Mudslides', 'Crazy_Horse', 'A_Few_Good_Men', 'A_Dozen_Red_Roses', 'Noodles']","['fraudulent', 'phony', 'insincere']",,Calvin_and_Hobbs,Goats,Mudslides,Crazy_Horse,A_Few_Good_Men,A_Dozen_Red_Roses,Noodles,Bogus,
"['A_Volcano', 'Turkeys', 'Gorillas', 'Psychics', 'NASA', 'Husbands_and_Wives', 'The_Super_Bowl']","['blazing', 'heated', 'spicy']",,A_Volcano,Turkeys,Gorillas,Psychics,NASA,Husbands_and_Wives,The_Super_Bowl,Hot,
"['A_Hole_In_One', 'Soccer', 'The_Scarlet_Letter', 'Robin_Hood', 'Peanuts_and_Popcorn', 'Fish_and_Chips', 'Death_Valley']","['fatal', 'lethal', 'murderous']",,A_Hole_In_One,Soccer,The_Scarlet_Letter,Robin_Hood,Peanuts_and_Popcorn,Fish_and_Chips,Death_Valley,Deadly,
"['Mickey_Mouse', 'Getting_A_Haircut', 'The_Everglades', 'Love_Letters', 'Cowboys', 'Michelangelo', 'Lassie']","['world-wide', 'spherical', 'universal']",,Mickey_Mouse,Getting_A_Haircut,The_Everglades,Love_Letters,Cowboys,Michelangelo,Lassie,Global,
"['Family_Reunions', 'Sugar', 'Day_Care_Centers', 'Peanuts', 'Comic_Books', 'Canoes', 'Tattoos']","['crazy', 'funny', 'wacky']",,Family_Reunions,Sugar,Day_Care_Centers,Peanuts,Comic_Books,Canoes,Tattoos,Zany,
"['Zebras', 'Jelly_Beans', 'Hollywood', 'Kittens', 'Legs', 'VW_Beetles', 'Rust']","['risky', 'sickly', 'dangerous']",,Zebras,Jelly_Beans,Hollywood,Kittens,Legs,VW_Beetles,Rust,Unhealthy,
"['My_Dad', 'A_Locker_Room', 'A_Broken_Leg', 'Rogers_and_Hammerstein', 'Woody_Allen', 'Spike_Lee', 'Freaks_and_Geeks']","['strong', 'forceful', 'robust']",,My_Dad,A_Locker_Room,A_Broken_Leg,Rogers_and_Hammerstein,Woody_Allen,Spike_Lee,Freaks_and_Geeks,Powerful,
"['Reggae_Music', 'Coughing_and_Sneezing', 'Jim_Carrey', ""Valentine's_Day"", 'Nobel_Peace_Prize', 'Brooks_and_Dunn', 'Friction']","['dismal', 'gloomy', 'sad']",,Reggae_Music,Coughing_and_Sneezing,Jim_Carrey,Valentine's_Day,Nobel_Peace_Prize,Brooks_and_Dunn,Friction,Depressing,
"['Beer', 'Panning_For_Gold', 'A_Crown', 'Casinos', 'Brad_Pitt', 'Saddam_Hussein', 'Bungee_Jumping']","['loud', 'not', 'quiet']",,Beer,Panning_For_Gold,A_Crown,Casinos,Brad_Pitt,Saddam_Hussein,Bungee_Jumping,Noisy,
"['Teeth', 'Barbie_Dolls', 'VW_Beetles', 'Dictionaries', 'Lucille_Ball', 'Garrison_Keillor', 'Pulling_Weeds']","['shameless', 'nasty', 'indecent']",,Teeth,Barbie_Dolls,VW_Beetles,Dictionaries,Lucille_Ball,Garrison_Keillor,Pulling_Weeds,Trashy,
"['Treehouse', 'Smith_and_Wesson', 'Flour', 'Toes', 'Food_and_Shelter', 'My_Bathroom', 'Bigfoot']","['prehistoric', 'primal', 'uncivilized']",,Treehouse,Smith_and_Wesson,Flour,Toes,Food_and_Shelter,My_Bathroom,Bigfoot,Primitive,
