7,6,5,synonyms,target,4,hand,3,1,2
NASCAR,Shoplifting,Ragweed,"['pure', 'simple', 'unadorned']",Natural,Ice_Cream,"['The_Beach', 'Peanuts', 'Going_To_The_Gym', 'Ice_Cream', 'Ragweed', 'Shoplifting', 'NASCAR']",Going_To_The_Gym,The_Beach,Peanuts
The_YMCA,The_1920s,Apples_To_Apples,"['wicked', 'corrupt', 'depraved']",Evil,Slash_and_Burn,"['Cotton_Candy', 'Knitting_Needles', 'Normal_Rockwell', 'Slash_and_Burn', 'Apples_To_Apples', 'The_1920s', 'The_YMCA']",Normal_Rockwell,Cotton_Candy,Knitting_Needles
Tea_and_Crumpets,Mad_Cow_Disease,Telling_Scary_Stories,"['sickening', 'disgusting', 'repulsive']",Icky,Samuel_L._Jackson,"['Peanut_Butter_and_Jelly', ""Rosie_O'Donnell"", 'Shoplifting', 'Samuel_L._Jackson', 'Telling_Scary_Stories', 'Mad_Cow_Disease', 'Tea_and_Crumpets']",Shoplifting,Peanut_Butter_and_Jelly,Rosie_O'Donnell
Cleaning_The_Bathroom,The_Little_Mermaid,The_1980s,"['frightening', 'electrifying', 'startling']",Shocking,Black_Cats,"['Cup_and_Saucer', 'Having_A_Party', 'Wine_Tasting', 'Black_Cats', 'The_1980s', 'The_Little_Mermaid', 'Cleaning_The_Bathroom']",Wine_Tasting,Cup_and_Saucer,Having_A_Party
Itchy_Clothes,The_Three_Stooges,A_Sunrise,"['loving', 'tender', 'huggable']",Cuddly,Ships,"['Waffles', 'Cleaning_Your_Room', 'Exterminators', 'Ships', 'A_Sunrise', 'The_Three_Stooges', 'Itchy_Clothes']",Exterminators,Waffles,Cleaning_Your_Room
Bates_Motel,Driving_Off_A_Cliff,The_North_Pole,"['notable', 'impressive', 'remarkable']",Unforgettable,A_Giant,"['Octopus', 'Buzz_Lightyear', 'Elizabeth_Taylor', 'A_Giant', 'The_North_Pole', 'Driving_Off_A_Cliff', 'Bates_Motel']",Elizabeth_Taylor,Octopus,Buzz_Lightyear
Coral_Reef,The_Dump,Science_Tests,"['seductive', 'enticing', 'alluring']",Tempting,Slivers,"['Dollars_and_Cents', 'Rice_and_Beans', 'Grape_Jelly', 'Slivers', 'Science_Tests', 'The_Dump', 'Coral_Reef']",Grape_Jelly,Dollars_and_Cents,Rice_and_Beans
Goldie_Hawn,Big_Bang_Theory,My_Bank_Account,"['unhappy', 'gloomy']",Sad,Goats,"['The_Little_Mermaid', 'Gummi_Bears', 'Salt', 'Goats', 'My_Bank_Account', 'Big_Bang_Theory', 'Goldie_Hawn']",Salt,The_Little_Mermaid,Gummi_Bears
Kangaroos,Oranges,An_Igloo,"['classic', 'ageless', 'well-established']",Timeless,Being_and_Nothingness,"['Mushrooms', 'Redwood_Forests', ""M_and_M's"", 'Being_and_Nothingness', 'An_Igloo', 'Oranges', 'Kangaroos']",M_and_M's,Mushrooms,Redwood_Forests
Chewing_Your_Fingernails,Assembly_Lines,Poodles,"['incredible', 'far-fetched', 'impossible']",Unbelievable,Turtles,"['Whipped_Cream', 'New_York_City', 'French_Wines', 'Turtles', 'Poodles', 'Assembly_Lines', 'Chewing_Your_Fingernails']",French_Wines,Whipped_Cream,New_York_City
Dr._Jekyll_and_Mr._Hyde,The_Universe,"Martin_Luther_King,_Jr.","['psychotic', 'deranged', 'mad']",Insane,Trees,"['Flower_Gardens', 'Cactus', 'Smith_and_Wesson', 'Trees', 'Martin_Luther_King,_Jr.', 'The_Universe', 'Dr._Jekyll_and_Mr._Hyde']",Smith_and_Wesson,Flower_Gardens,Cactus
Family_Reunions,Sledding,Campfire,"['famous', 'distinctive', 'prominent']",Legendary,Winning_A_Trophy,"['Turtles', 'My_Teacher', 'Chips_and_Dip', 'Winning_A_Trophy', 'Campfire', 'Sledding', 'Family_Reunions']",Chips_and_Dip,Turtles,My_Teacher
Gardening,Hawaii,Lemonade,"['virtuous', 'angelic', 'divine']",Saintly,Gossip,"['My_Mother', 'Dodo_Birds', 'Mensa_High_IQ_Society', 'Gossip', 'Lemonade', 'Hawaii', 'Gardening']",Mensa_High_IQ_Society,My_Mother,Dodo_Birds
Having_A_Party,Bubble_Gum,A_Microwave_Oven,"['new', 'original', 'good']",Fresh,Hiccups,"['Gravity', 'Porcupines', 'Fish_and_Chips', 'Hiccups', 'A_Microwave_Oven', 'Bubble_Gum', 'Having_A_Party']",Fish_and_Chips,Gravity,Porcupines
Mountain_Bikes,Peace_and_Quiet,Nobel_Peace_Prize,"['trustworthy', 'truthful']",Honest,Odds_and_Ends,"['Wine_Tasting', 'Charles_and_Diana', 'Pineapples', 'Odds_and_Ends', 'Nobel_Peace_Prize', 'Peace_and_Quiet', 'Mountain_Bikes']",Pineapples,Wine_Tasting,Charles_and_Diana
The_North_Pole,Sunken_Ships,Samuel_L._Jackson,"['dirty', 'foul', 'unclean']",Filthy,Soccer,"['Music_Lessons', 'Feminists', 'Tractors', 'Soccer', 'Samuel_L._Jackson', 'Sunken_Ships', 'The_North_Pole']",Tractors,Music_Lessons,Feminists
Bingo,Spiders,Tibet,"['frightening', 'awful']",Horrible,Bugs,"['Prince_Charming', 'Construction_Workers', 'Rust', 'Bugs', 'Tibet', 'Spiders', 'Bingo']",Rust,Prince_Charming,Construction_Workers
Las_Vegas,Bagels_And_Lox,My_Future,"['hearty', 'robust', 'wholesome']",Healthy,Sean_Connery,"['Swamps', 'Warts', 'Lollipops', 'Sean_Connery', 'My_Future', 'Bagels_And_Lox', 'Las_Vegas']",Lollipops,Swamps,Warts
Rappers,Danny_DeVito,Climbing_A_Tree,"['affectionate', 'tactile', 'huggy']",Touchy-Feely,Candy_Corn,"['Feathers', 'Corvettes', 'Stamp_Collecting', 'Candy_Corn', 'Climbing_A_Tree', 'Danny_DeVito', 'Rappers']",Stamp_Collecting,Feathers,Corvettes
Pennies,Strawberries,In_The_Doghouse,"['dishonest', 'underhanded', 'shady']",Corrupt,Soldiers,"['Frisbees', 'Men_In_Black', 'Rugrats', 'Soldiers', 'In_The_Doghouse', 'Strawberries', 'Pennies']",Rugrats,Frisbees,Men_In_Black
Dumbo,A_Flat_Tire,Pins_and_Needles,"['lively', 'exuberant', 'spirited']",Animated,My_Love_Life,"['A_Dozen_Red_Roses', 'Milk_and_Cookies', 'Pillow_Fights', 'My_Love_Life', 'Pins_and_Needles', 'A_Flat_Tire', 'Dumbo']",Pillow_Fights,A_Dozen_Red_Roses,Milk_and_Cookies
Skinned_Knees,Factories,Jodie_Foster,"['messy', 'careless']",Sloppy,Spiders,"['Grease', 'Smoke', 'Poodles', 'Spiders', 'Jodie_Foster', 'Factories', 'Skinned_Knees']",Poodles,Grease,Smoke
Fire,Reading_A_Book,Bangkok,"['scarce', 'unusual', 'half-cooked']",Rare,Moon_and_The_Stars,"['Anna_Kournikova', 'Denzel_Washington', 'Sand_and_Surf', 'Moon_and_The_Stars', 'Bangkok', 'Reading_A_Book', 'Fire']",Sand_and_Surf,Anna_Kournikova,Denzel_Washington
Danielle_Steel,Swordfighting,Swans,"['dirty', 'shabby', 'seedy']",Grungy,Bee_Stings,"['Waterbeds', 'Bangkok', 'Surf_and_Turf', 'Bee_Stings', 'Swans', 'Swordfighting', 'Danielle_Steel']",Surf_and_Turf,Waterbeds,Bangkok
Madeline,Frank_Sinatra,Pomp_and_Circumstance,"['notable', 'impressive', 'remarkable']",Unforgettable,Alaska,"['GI_Joe', 'Volleyball', 'Llamas', 'Alaska', 'Pomp_and_Circumstance', 'Frank_Sinatra', 'Madeline']",Llamas,GI_Joe,Volleyball
Slip_and_Fall,Gorillas,Claude_Monet,"['pretty', 'lovely']",Beautiful,Hotels_and_Motels,"['Flash_Floods', 'Skinheads', 'Camels', 'Hotels_and_Motels', 'Claude_Monet', 'Gorillas', 'Slip_and_Fall']",Camels,Flash_Floods,Skinheads
Cameras,Orange_Juice,My_Shoes,"['active', 'vigorous', 'forceful']",Energetic,New_Yorkers,"['Winnie_The_Pooh', 'Superman', 'Blackouts', 'New_Yorkers', 'My_Shoes', 'Orange_Juice', 'Cameras']",Blackouts,Winnie_The_Pooh,Superman
Sand_and_Surf,Bingo,Cleaning_The_Bathroom,"['amusing', 'comic', 'odd']",Funny,Rock_Concerts,"['Handguns', 'Dirty_Diapers', 'Normal_Rockwell', 'Rock_Concerts', 'Cleaning_The_Bathroom', 'Bingo', 'Sand_and_Surf']",Normal_Rockwell,Handguns,Dirty_Diapers
Gingko_Trees,Ferdinand_and_Isabella,Lobsters,"['imperfect', 'defective', 'unsound']",Flawed,Dollars_and_Cents,"['Swamps', 'Lucy_and_Desi', 'Salads', 'Dollars_and_Cents', 'Lobsters', 'Ferdinand_and_Isabella', 'Gingko_Trees']",Salads,Swamps,Lucy_and_Desi
Fairies,Long_Hair,Global_Warming,"['smooth', 'level']",Flat,Stunt_People,"['A_Hole_In_One', 'Apple_Pie', 'In_The_Attic', 'Stunt_People', 'Global_Warming', 'Long_Hair', 'Fairies']",In_The_Attic,A_Hole_In_One,Apple_Pie
Getting_The_Flu,The_Ice_Age,Rush_Limbaugh,"['quick', 'rapid', 'fast']",Speedy,Elmo,"['Buying_A_House', 'Bears', 'Ernest_Hemingway', 'Elmo', 'Rush_Limbaugh', 'The_Ice_Age', 'Getting_The_Flu']",Ernest_Hemingway,Buying_A_House,Bears
Michael_Jackson,Eggs,Hawaii,"['sad', 'sorrowful']",Unhappy,Going_To_Church,"['Music_Lessons', 'Fred_and_Ginger', 'Rope_Burns', 'Going_To_Church', 'Hawaii', 'Eggs', 'Michael_Jackson']",Rope_Burns,Music_Lessons,Fred_and_Ginger
Discos,Baby_Dolls,Crying,"['delicate', 'frail', 'breakable']",Fragile,A_Hole_In_One,"['Treehouse', 'Sleep', 'Music_Lessons', 'A_Hole_In_One', 'Crying', 'Baby_Dolls', 'Discos']",Music_Lessons,Treehouse,Sleep
Fred_and_Wilma,Going_On_A_Safari,Scooby-Doo,"['awesome', 'outrageous', 'imaginary']",Fantastic,Bert_and_Ernie,"['Joan_Of_Arc', 'Jamaica', 'Watching_TV', 'Bert_and_Ernie', 'Scooby-Doo', 'Going_On_A_Safari', 'Fred_and_Wilma']",Watching_TV,Joan_Of_Arc,Jamaica
Mice,The_Great_Chicago_Fire,Cleaning_Your_Room,"['severe', 'glaring', 'brutal']",Harsh,Having_An_Operation,"['Dirty_Socks', 'Anne_Frank', 'The_IRS', 'Having_An_Operation', 'Cleaning_Your_Room', 'The_Great_Chicago_Fire', 'Mice']",The_IRS,Dirty_Socks,Anne_Frank
Boyfriends,A_Desert,Cactus,"['caring', 'kind']",Loving,Bullwinkle,"['Thunder_and_Lightning', ""Mom's_Cooking"", 'Ramona', 'Bullwinkle', 'Cactus', 'A_Desert', 'Boyfriends']",Ramona,Thunder_and_Lightning,Mom's_Cooking
Macaroni_and_Cheese,Lemons,Actors,"['deep', 'wise', 'thoughtful']",Profound,The_Vietnam_Memorial,"['Eggplant', 'Televangelists', 'A_Bad_Haircut', 'The_Vietnam_Memorial', 'Actors', 'Lemons', 'Macaroni_and_Cheese']",A_Bad_Haircut,Eggplant,Televangelists
Grease,Social_Security,New_Yorkers,"['wild', 'natural']",Untamed,A_Cheap_Motel,"['Hot_Tubs', 'Taking_A_Bath', 'Macaroni_And_Cheese', 'A_Cheap_Motel', 'New_Yorkers', 'Social_Security', 'Grease']",Macaroni_And_Cheese,Hot_Tubs,Taking_A_Bath
A_Little_White_Lie,Water,Magic_Tricks,"['naughty', 'prankish', 'sly']",Mischievous,A_Crawl_Space,"['Feathers', 'Anne_Frank', 'Peanuts', 'A_Crawl_Space', 'Magic_Tricks', 'Water', 'A_Little_White_Lie']",Peanuts,Feathers,Anne_Frank
Babysitters,Star_Fruit,Treehouse,"['distorted', 'warped', 'perverted']",Twisted,Body_Odor,"['Dog_Food', 'Freedom', 'Buttons_and_Bows', 'Body_Odor', 'Treehouse', 'Star_Fruit', 'Babysitters']",Buttons_and_Bows,Dog_Food,Freedom
Fame_and_Fortune,Catfish,Poison_Ivy,"['honest', 'just', 'virtuous']",Honorable,Adolph_Hitler,"['Pilots', 'Maple_Syrup', 'Jelly_Beans', 'Adolph_Hitler', 'Poison_Ivy', 'Catfish', 'Fame_and_Fortune']",Jelly_Beans,Pilots,Maple_Syrup
Jack_The_Ripper,Chorus_Girls,Chutes_and_Ladders,"['strong', 'firm', 'difficult']",Tough,Card_Games,"['Snowstorm', 'School_Lunch', 'Lobster', 'Card_Games', 'Chutes_and_Ladders', 'Chorus_Girls', 'Jack_The_Ripper']",Lobster,Snowstorm,School_Lunch
Dinner_and_A_Movie,King_Henry_VIII,A_Bad_Haircut,"['psychotic', 'deranged', 'mad']",Insane,The_Green_Bay_Packers,"['Paris,_France', 'The_Big_Dipper', 'Meg_Ryan', 'The_Green_Bay_Packers', 'A_Bad_Haircut', 'King_Henry_VIII', 'Dinner_and_A_Movie']",Meg_Ryan,"Paris,_France",The_Big_Dipper
Going_On_A_Cruise,Bigfoot,Dr._Evil,"['interesting', 'attractive']",Fascinating,Haunted_House,"['Pineapples', 'Pail_and_Shovel', 'A_Bakery', 'Haunted_House', 'Dr._Evil', 'Bigfoot', 'Going_On_A_Cruise']",A_Bakery,Pineapples,Pail_and_Shovel
Having_A_Baby,Body_and_Soul,A_Sunset,"['easygoing', 'blase', 'nonchalant']",Casual,Clowns,"['Swiss_Chocolate', 'A_Bad_Haircut', 'Jesse_Jackson', 'Clowns', 'A_Sunset', 'Body_and_Soul', 'Having_A_Baby']",Jesse_Jackson,Swiss_Chocolate,A_Bad_Haircut
Snowballs,Homeless_Shelters,Austin_Powers,"['unsophisticated', 'childlike', 'simple']",Naive,New_York_City,"['Urban_Sprawl', 'The_Dixie_Chicks', 'Lego_Building_Blocks', 'New_York_City', 'Austin_Powers', 'Homeless_Shelters', 'Snowballs']",Lego_Building_Blocks,Urban_Sprawl,The_Dixie_Chicks
Waterfalls,Chocolate_Milk,Pilots,"['noisy', 'boisterous', 'deafening']",Loud,Winning_A_Trophy,"['The_Little_Mermaid', 'The_Super_Bowl', 'Atlantis', 'Winning_A_Trophy', 'Pilots', 'Chocolate_Milk', 'Waterfalls']",Atlantis,The_Little_Mermaid,The_Super_Bowl
Cookies,Hawks_and_Doves,Hootie_and_The_Blowfish,"['conscientious', 'ethical', 'scrupulous']",Principled,The_First_Day_Of_School,"['A_Hole_In_One', 'Band-Aids', 'Farmers', 'The_First_Day_Of_School', 'Hootie_and_The_Blowfish', 'Hawks_and_Doves', 'Cookies']",Farmers,A_Hole_In_One,Band-Aids
Ferdinand_and_Isabella,Waterbeds,The_Great_Depression,"['mean', 'inclement', 'offensive']",Nasty,On-Line_Shopping,"['Chicken_Nuggets', 'In_The_Doghouse', 'Fat', 'On-Line_Shopping', 'The_Great_Depression', 'Waterbeds', 'Ferdinand_and_Isabella']",Fat,Chicken_Nuggets,In_The_Doghouse
A_Prince,Dumb_Blonde_Jokes,Cowboys_and_Indians,"['bitter', 'tart']",Sour,A_King,"['Pajamas', 'My_School', 'Go_Karts', 'A_King', 'Cowboys_and_Indians', 'Dumb_Blonde_Jokes', 'A_Prince']",Go_Karts,Pajamas,My_School
Circus_Peanuts,Mirrors,Pink_Flamingos,"['subdued', 'gentle', 'trained']",Tame,Ginger_and_Mary_Ann,"['Elvis_Presley', 'Gossip', 'The_Titanic', 'Ginger_and_Mary_Ann', 'Pink_Flamingos', 'Mirrors', 'Circus_Peanuts']",The_Titanic,Elvis_Presley,Gossip
Remote_Controls,The_Dump,A_Refrigerator,"['awkward', 'bumbling', 'uncoordinated']",Clumsy,Glue,"['Emily_Dickinson', 'Jenna_and_Barbara', 'Ice', 'Glue', 'A_Refrigerator', 'The_Dump', 'Remote_Controls']",Ice,Emily_Dickinson,Jenna_and_Barbara
Pigeons,Fairies,The_U.S._Constitution,"['scientific', 'futuristic', 'mechanical']",Technological,United_Nations,"['NYPD', 'Frosty_The_Snowman', 'Peanuts_and_Popcorn', 'United_Nations', 'The_U.S._Constitution', 'Fairies', 'Pigeons']",Peanuts_and_Popcorn,NYPD,Frosty_The_Snowman
Charlotte's_Web,My_Stuffed_Animals,Body_Surfing,"['risky', 'chancy', 'hazardous']",Dangerous,Frisbees,"['Cheesecake', 'Learning_Spanish', 'Angry_Hornets', 'Frisbees', 'Body_Surfing', 'My_Stuffed_Animals', ""Charlotte's_Web""]",Angry_Hornets,Cheesecake,Learning_Spanish
Bugs,Rappers,Adam_and_Eve,"['fragile', 'weak']",Frail,Fortune_Teller,"['Pez_Dispensers', 'Going_To_The_Dentist', 'Europe', 'Fortune_Teller', 'Adam_and_Eve', 'Rappers', 'Bugs']",Europe,Pez_Dispensers,Going_To_The_Dentist
Meatloaf,Blackouts,Steve_Martin,"['hurtful', 'unhealthy', 'damaging']",Harmful,Toasted_Marshmallows,"['Al_Pacino', 'Will_Smith', 'Gummi_Bears', 'Toasted_Marshmallows', 'Steve_Martin', 'Blackouts', 'Meatloaf']",Gummi_Bears,Al_Pacino,Will_Smith
Hot_Tubs,In_The_Basement,Fur,"['hairy', 'fuzzy']",Furry,Barbed_Wire,"['Finger_Painting', 'Top_Of_A_Rollercoaster', 'Mad_Cow_Disease', 'Barbed_Wire', 'Fur', 'In_The_Basement', 'Hot_Tubs']",Mad_Cow_Disease,Finger_Painting,Top_Of_A_Rollercoaster
Dustin_Hoffman,Nosebleeds,Emergency_Rooms,"['not', 'curved', 'direct']",Straight,Substitute_Teachers,"['Saddam_Hussein', 'Bora_Bora', 'Junk_Mail', 'Substitute_Teachers', 'Emergency_Rooms', 'Nosebleeds', 'Dustin_Hoffman']",Junk_Mail,Saddam_Hussein,Bora_Bora
Raking_Leaves,Going_To_Church,The_Scarlet_Letter,"['insulting', 'vulgar', 'attacking']",Offensive,Giving_A_Hug,"['A_Crawl_Space', 'Elmo', 'Anne_Frank', 'Giving_A_Hug', 'The_Scarlet_Letter', 'Going_To_Church', 'Raking_Leaves']",Anne_Frank,A_Crawl_Space,Elmo
In_The_Basement,Christmas,A_Forest,"['usual', 'common', 'plain']",Ordinary,My_Bedroom,"['Red_Roses', 'Sticks_and_Stones', 'Cleaning_Your_Room', 'My_Bedroom', 'A_Forest', 'Christmas', 'In_The_Basement']",Cleaning_Your_Room,Red_Roses,Sticks_and_Stones
Ear_Wax,Hopscotch,Marlon_Brando,"['gummy', 'rubbery', 'stringy']",Chewy,Running_A_Marathon,"['Substitute_Teachers', 'GI_Joe', 'Beer_and_Pretzels', 'Running_A_Marathon', 'Marlon_Brando', 'Hopscotch', 'Ear_Wax']",Beer_and_Pretzels,Substitute_Teachers,GI_Joe
Turkeys,Dallas_and_Fort_Worth,Sharks,"['goofy', 'absurd', 'nonsensical']",Silly,Zombies,"['Intellectuals', 'Food_Poisoning', 'Puppies', 'Zombies', 'Sharks', 'Dallas_and_Fort_Worth', 'Turkeys']",Puppies,Intellectuals,Food_Poisoning
Hopscotch,Jupiter,Food_and_Shelter,"['deep', 'wise', 'thoughtful']",Profound,The_French_Riviera,"['Tom_Hanks', 'Potato_Chips', 'Campfire', 'The_French_Riviera', 'Food_and_Shelter', 'Jupiter', 'Hopscotch']",Campfire,Tom_Hanks,Potato_Chips
Pirates,Candy_Corn,Ancient_Rome,"['flavorable', 'tangy', 'hot']",Spicy,Fat,"['My_Shoes', 'Elevators', 'Saddam_Hussein', 'Fat', 'Ancient_Rome', 'Candy_Corn', 'Pirates']",Saddam_Hussein,My_Shoes,Elevators
Dinner_and_A_Movie,Atlantis,Laurel_and_Hardy,"['demanding', 'exhausting', 'strenuous']",Grueling,Gila_Monsters,"['A_Car_Crash', 'Billy_Crystal', 'Pierced_Ears', 'Gila_Monsters', 'Laurel_and_Hardy', 'Atlantis', 'Dinner_and_A_Movie']",Pierced_Ears,A_Car_Crash,Billy_Crystal
Early_Morning,Aristotle,Milk_and_Cookies,"['irritating', 'bothersome', 'teasing']",Annoying,A_Dozen_Red_Roses,"['Apple_Juice', 'Cup_and_Saucer', 'Men', 'A_Dozen_Red_Roses', 'Milk_and_Cookies', 'Aristotle', 'Early_Morning']",Men,Apple_Juice,Cup_and_Saucer
Garth_Brooks,Baby_Showers,BB_Guns,"['puzzling', 'weird']",Confusing,Death_and_Dying,"['The_Titanic', 'Sandra_Bullock', 'My_Dreams', 'Death_and_Dying', 'BB_Guns', 'Baby_Showers', 'Garth_Brooks']",My_Dreams,The_Titanic,Sandra_Bullock
Poodles,Wishbone,Oprah_Winfrey,"['vivid', 'brilliant', 'kaleidoscopic']",Colorful,Johnny_Depp,"['A_Morgue', 'Red_Roses', 'Odds_and_Ends', 'Johnny_Depp', 'Oprah_Winfrey', 'Wishbone', 'Poodles']",Odds_and_Ends,A_Morgue,Red_Roses
Picking_Your_Nose,Sunburns,Mad_Cow_Disease,"['furious', 'vicious', 'destructive']",Violent,Catherine_Zeta-Jones,"['Going_To_School', 'Bugs', 'Speeding_Tickets', 'Catherine_Zeta-Jones', 'Mad_Cow_Disease', 'Sunburns', 'Picking_Your_Nose']",Speeding_Tickets,Going_To_School,Bugs
Apples,The_Police,Laurel_and_Hardy,"['affectionate', 'tactile', 'huggy']",Touchy-Feely,My_Personality,"['Beauty_And_The_Beast', 'Fort_Knox', 'Confucius', 'My_Personality', 'Laurel_and_Hardy', 'The_Police', 'Apples']",Confucius,Beauty_And_The_Beast,Fort_Knox
Lox_and_Bagels,Puff_Daddy,Starfish,"['loving', 'tender', 'huggable']",Cuddly,Cowboys,"['Batman_and_Robin', 'Bill_Gates', 'Macaroni_And_Cheese', 'Cowboys', 'Starfish', 'Puff_Daddy', 'Lox_and_Bagels']",Macaroni_And_Cheese,Batman_and_Robin,Bill_Gates
Boyfriends,My_Dreams,Apples_To_Apples,"['funny', 'amusing', 'comical']",Humorous,Blackouts,"['Globes', 'Marlon_Brando', 'Pinocchio', 'Blackouts', 'Apples_To_Apples', 'My_Dreams', 'Boyfriends']",Pinocchio,Globes,Marlon_Brando
A_High_School_Bathroom,Cleaning_The_Bathroom,A_Haunted_House,"['rotten', 'hurtful']",Bad,Judge_Judy,"['Waterfalls', 'Fireworks', 'Bigfoot', 'Judge_Judy', 'A_Haunted_House', 'Cleaning_The_Bathroom', 'A_High_School_Bathroom']",Bigfoot,Waterfalls,Fireworks
Farms,Catherine_Zeta-Jones,Sean_Connery,"['gifted', 'clever', 'skillful']",Talented,Inchworm,"['The_JFK_Assassination', 'Oprah_Winfrey', 'Goldfish', 'Inchworm', 'Sean_Connery', 'Catherine_Zeta-Jones', 'Farms']",Goldfish,The_JFK_Assassination,Oprah_Winfrey
Waffles,Morticians,Abraham_Lincoln,"['dismal', 'gloomy', 'sad']",Depressing,Motorcycles,"['Sand_and_Surf', 'Plastic', 'Frozen_Peas', 'Motorcycles', 'Abraham_Lincoln', 'Morticians', 'Waffles']",Frozen_Peas,Sand_and_Surf,Plastic
Forever_and_Ever,Race_Car_Drivers,Corrugated_Cardboard,"['enjoyable', 'nice']",Pleasant,Lenin's_Tomb,"['Skinned_Knees', 'Spiders_and_Snakes', 'Math', ""Lenin's_Tomb"", 'Corrugated_Cardboard', 'Race_Car_Drivers', 'Forever_and_Ever']",Math,Skinned_Knees,Spiders_and_Snakes
Dirt,The_Gulf_War,Wishbone,"['very', 'bad', 'horrible']",Awful,Vanilla_Pudding,"['Knife_and_Fork', 'Peace_and_Love', 'Popcorn', 'Vanilla_Pudding', 'Wishbone', 'The_Gulf_War', 'Dirt']",Popcorn,Knife_and_Fork,Peace_and_Love
Thanksgiving_Day,Drinking_and_Driving,Speeding_Tickets,"['experienced', 'sophisticated', 'materialistic']",Worldly,Octopus,"['Pillows', 'Chicken_Pox', 'Turkey_and_Stuffing', 'Octopus', 'Speeding_Tickets', 'Drinking_and_Driving', 'Thanksgiving_Day']",Turkey_and_Stuffing,Pillows,Chicken_Pox
Red_Roses,Macaroni_And_Cheese,Doctors_and_Dentists,"['peaceful', 'tranquil', 'placid']",Calm,Hopscotch,"['NASCAR', 'Weapons_Dealers', 'Martin_Luther_King,_Jr.', 'Hopscotch', 'Doctors_and_Dentists', 'Macaroni_And_Cheese', 'Red_Roses']","Martin_Luther_King,_Jr.",NASCAR,Weapons_Dealers
Rollerblading,Forever_and_Ever,Ronald_McDonald,"['not', 'old', 'new']",Young,Local_Police,"['Mosquito_Bites', 'Pizza', 'The_Birds_and_The_Bees', 'Local_Police', 'Ronald_McDonald', 'Forever_and_Ever', 'Rollerblading']",The_Birds_and_The_Bees,Mosquito_Bites,Pizza
Motorcycles,Mirrors,Mardi_Gras,"['sweltering', 'humid', 'sensual']",Sultry,Sugar,"['Peacocks', 'Pork_and_Beans', 'Bonbons', 'Sugar', 'Mardi_Gras', 'Mirrors', 'Motorcycles']",Bonbons,Peacocks,Pork_and_Beans
Tomatoes,Poodles,Smithsonian_Institution,"['useful', 'assisting']",Helpful,Girlfriends,"['Convenience_Stores', 'Elmo', 'Salads', 'Girlfriends', 'Smithsonian_Institution', 'Poodles', 'Tomatoes']",Salads,Convenience_Stores,Elmo
Zucchini,Music_Lessons,Learning_To_Ski,"['classic', 'ageless', 'well-established']",Timeless,Ghosts,"['Dog_Food', 'Currier_and_Ives', 'A_Leaky_Boat', 'Ghosts', 'Learning_To_Ski', 'Music_Lessons', 'Zucchini']",A_Leaky_Boat,Dog_Food,Currier_and_Ives
Phone_and_Fax,Rap_Music,My_Boss,"['strained', 'tense', 'nervous']",Wired,Cabbage,"['Steve_Martin', 'Infomercials', 'Body_Odor', 'Cabbage', 'My_Boss', 'Rap_Music', 'Phone_and_Fax']",Body_Odor,Steve_Martin,Infomercials
Chips_and_Dip,Grease,A_Dozen_Red_Roses,"['hearty', 'robust', 'wholesome']",Healthy,Falling_Down,"['Tidal_Waves', 'Pigs', 'Frisbees', 'Falling_Down', 'A_Dozen_Red_Roses', 'Grease', 'Chips_and_Dip']",Frisbees,Tidal_Waves,Pigs
Chocolate_Milk,My_Dreams,Batman_and_Robin,"['simple', 'evident', 'ordinary']",Plain,Panda_Bears,"['Lizards', 'Hummingbirds', 'Birthday_Cake', 'Panda_Bears', 'Batman_and_Robin', 'My_Dreams', 'Chocolate_Milk']",Birthday_Cake,Lizards,Hummingbirds
Picnics,My_Dreams,Cotton_Candy,"['tactile', 'pleasing', 'sexual']",Sensual,Clay,"['Fresh_Water_Pearls', 'Airplane', 'Phone_and_Fax', 'Clay', 'Cotton_Candy', 'My_Dreams', 'Picnics']",Phone_and_Fax,Fresh_Water_Pearls,Airplane
Spider-Man,Sand_Castles,Pizza,"['pleasurable', 'entertaining', 'fun']",Enjoyable,Getting_Mail,"['Fortune_Cookies', 'Fish_and_Chips', 'Gingko_Trees', 'Getting_Mail', 'Pizza', 'Sand_Castles', 'Spider-Man']",Gingko_Trees,Fortune_Cookies,Fish_and_Chips
Oil_Spills,Under_My_Bed,Magic_Tricks,"['worthy', 'delicate', 'all', 'right']",Fine,Christmas,"['Buying_A_House', 'My_Refrigerator', 'Vincent_Van_Gogh', 'Christmas', 'Magic_Tricks', 'Under_My_Bed', 'Oil_Spills']",Vincent_Van_Gogh,Buying_A_House,My_Refrigerator
Hiccups,Strawberries,R_and_R,"['unaware', 'oblivious', 'ignorant']",Clueless,Reggae_Music,"['Sharp_Knives', 'Going_To_School', 'Boardwalk_and_Park_Place', 'Reggae_Music', 'R_and_R', 'Strawberries', 'Hiccups']",Boardwalk_and_Park_Place,Sharp_Knives,Going_To_School
Eggs,Neil_Simon,The_FBI,"['strong', 'forceful', 'robust']",Powerful,Napoleon_Bonaparte,"['Stunt_People', 'Toes', 'The_Dallas_Cowboys', 'Napoleon_Bonaparte', 'The_FBI', 'Neil_Simon', 'Eggs']",The_Dallas_Cowboys,Stunt_People,Toes
